title,author,rank
BRAVE NEW WORLD,Aldous Huxley,1
POINT COUNTER POINT,Aldous Huxley,1
A CLOCKWORK ORANGE,Anthony Burgess,1
A DANCE TO THE MUSIC OF TIME (series),Anthony Powell,1
THE OLD WIVES’ TALE,Arnold Bennett,1
DARKNESS AT NOON,Arthur Koestler,1
THE MAGNIFICENT AMBERSONS,Booth Tarkington,1
THE HEART IS A LONELY HUNTER,Carson McCullers,1
SONS AND LOVERS,D.H. Lawrence,1
THE RAINBOW,D.H. Lawrence,1
WOMEN IN LOVE,D.H. Lawrence,1
THE MALTESE FALCON,Dashiell Hammett,1
RAGTIME,E.L. Doctorow,1
A PASSAGE TO INDIA,E.M. Forster,1
HOWARDS END,E.M. Forster,1
A ROOM WITH A VIEW,E.M. Forster,1
THE AGE OF INNOCENCE,Edith Wharton,1
THE HOUSE OF MIRTH,Edith Wharton,1
THE DEATH OF THE HEART,Elizabeth Bowen,1
THE SUN ALSO RISES,Ernest Hemingway,1
A FAREWELL TO ARMS,Ernest Hemingway,1
TOBACCO ROAD,Erskine Caldwell,1
A HANDFUL OF DUST,Evelyn Waugh,1
SCOOP,Evelyn Waugh,1
BRIDESHEAD REVISITED,Evelyn Waugh,1
THE GREAT GATsby,F. Scott Fitzgerald,1
TENDER IS THE NIGHT,F. Scott Fitzgerald,1
THE GOOD SOLDIER,Ford Madox Ford,1
PARADE’S END,Ford Madox Ford,1
1984,George Orwell,1
ANIMAL FARM,George Orwell,1
THE HEART OF THE MATTER,Graham Greene,1
LOVING,Henry Green,1
THE WINGS OF THE DOVE,Henry James,1
THE AMBASSADORS,Henry James,1
THE GOLDEN BOWL,Henry James,1
TROPIC OF CANCER,Henry Miller,1
UNDER THE NET,Iris Murdoch,1
THE CATCHER IN THE RYE,J.D. Salinger,1
THE GINGER MAN,J.P. Donleavy,1
ON THE ROAD,Jack Kerouac,1
THE CALL OF THE WILD,Jack London,1
GO TELL IT ON THE MOUNTAIN,James Baldwin,1
DELIVERANCE,James Dickey,1
FROM HERE TO ETERNITY,James Jones,1
ULYSSES,James Joyce,1
A PORTRAIT OF THE ARTIST AS A YOUNG MAN,James Joyce,1
FINNEGANS WAKE,James Joyce,1
THE POSTMAN ALWAYS RINGS TWICE,James M. Cain,1
THE STUDS LONIGAN TRILOGY,James T. Farrell,1
WIDE SARGASSO SEA,Jean Rhys,1
THE WAPSHOT CHRONICLES,John Cheever,1
U.S.A.(trilogy),John Dos Passos,1
THE MAGUS,John Fowles,1
APPOINTMENT IN SAMARRA,John O’Hara,1
THE GRAPES OF WRATH,John Steinbeck,1
THE SECRET AGENT,Joseph Conrad,1
NOSTROMO,Joseph Conrad,1
HEART OF DARKNESS,Joseph Conrad,1
LORD JIM,Joseph Conrad,1
CATCH-22,Joseph Heller,1
SLAUGHTERHOUSE-FIVE,Kurt Vonnegut,1
THE ALEXANDRIA QUARTET,Lawrence Durell,1
UNDER THE VOLCANO,Malcolm Lowry,1
ZULEIKA DOBSON,Max Beerbohm,1
THE PRIME OF MISS JEAN BRODIE,Muriel Spark,1
THE DAY OF THE LOCUST,Nathanael West,1
THE NAKED AND THE DEAD,Norman Mailer,1
THE SHELTERING SKY,Paul Bowles,1
PORTNOY’S COMPLAINT,Philip Roth,1
INVISIBLE MAN,Ralph Ellison,1
A HIGH WIND IN JAMAICA,Richard Hughes,1
NATIVE SON,Richard Wright,1
"I, CLAUDIUS",Robert Graves,1
ALL THE KING’S MEN,Robert Penn Warren,1
KIM,Rudyard Kipling,1
MIDNIGHT’S CHILDREN,Salman Rushdie,1
THE WAY OF ALL FLESH,Samuel Butler,1
HENDERSON THE RAIN KING,Saul Bellow,1
THE ADVENTURES OF AUGIE MARCH,Saul Bellow,1
"WINESBURG, OHIO",Sherwood Anderson,1
MAIN STREET,Sinclair Lewis,1
AN AMERICAN TRAGEDY,Theodore Dreiser,1
SISTER CARRIE,Theodore Dreiser,1
THE BRIDGE OF SAN LUIS REY,Thornton Wilder,1
A HOUSE FOR MR BISWAS,V.S. Naipaul,1
A BEND IN THE RIVER,V.S. Naipaul,1
TO THE LIGHTHOUSE,Virginia Woolf,1
LOLITA,Vladimir Nabokov,1
PALE FIRE,Vladimir Nabokov,1
OF HUMAN BONDAGE,W. Somerset Maugham,1
THE MOVIEGOER,Walker Percy,1
ANGLE OF REPOSE,Wallace Stegner,1
DEATH COMES FOR THE ARCHBISHOP,Willa Cather,1
THE SOUND AND THE FURY,William Faulkner,1
AS I LAY DYING,William Faulkner,1
LIGHT IN AUGUST,William Faulkner,1
LORD OF THE FLIES,William Golding,1
IRONWEED,William Kennedy,1
SOPHIE’S CHOICE,William Styron,1
