title,author,rank
Mein Kampf,Adolf Hitler,1
The Stranger,Albert Camus,1
Brave New World,Aldous Huxley,1
The Count of Monte Cristo,Alexandre Dumas,1
A Clockwork Orange,Anthony Burgess,1
The Little Prince,Antoine de Saint Exupéry,1
Atlas Shrugged,Ayn Rand,1
A Short History of Nearly Everything,Bill Bryson,1
Calvin and Hobbes,Bill Watterson,1
Contact,Carl Sagan,1
On the Origin of Species,Charles Darwin,1
The Road,Cormac McCarthy,1
How to Win Friends and Influence People,Dale Carnegie,1
The Hyperion Cantos,Dan Simmons,1
Flowers For Algernon,Daniel Keyes,1
Ishmael,Daniel Quinn,1
Infinite Jest,David Foster Wallave,1
John Dies at the End,David Wong,1
The Hitchhiker's Guide to the Galaxy,Douglas Adams,1
"Godel, Escher, Bach: An eternal golden braid",Douglas Hofstadter,1
Various,Dr. Seuss,1
Manufacturing Consent: The Political Economy of the Mass Media,Edward Herman and Noam Chomsky,1
All Quiet on the Western Front,Erich Maria Remarque,1
The Old Man and the Sea,Ernest Hemingway,1
The Great Gatsby,F. Scott Fitzgerald,1
Dune,Frank Herbert,1
The Brothers Karamazov,Fyodor Dostoevsky,1
Crime and Punishment,Fyodor Dostoyevsky,1
Notes From Underground,Fyodor Dostoyevsky,1
A Hundred Years of Solitude,Gabriel Garcia Marquez,1
1984,George Orwell,1
Animal Farm,George Orwell,1
A Song of Ice and Fire,George RR Martin,1
A Game of Thrones,George RR Martin,1
To Kill A Mockingbird,Harper Lee,1
Moby Dick,Herman Melville,1
Siddhartha,Hermann Hesse,1
Odyssey,Homer,1
A People's History of the United States,Howard Zinn,1
Fear and Loathing in Las Vegas,Hunter S. Thompson,1
The Foundation Saga,Isaac Asimov,1
Asimov's Guide to the Bible,Isaac Asimov,1
The Catcher in the Rye,J. D. Salinger,1
The Lord of the Rings,J. R. R. Tolkien,1
The Hobbit,J. R. R. Tolkien,1
Harry Potter Series,J.K. Rowling,1
The Dharma Bums,Jack Kerouac,1
Chaos,James Gleick,1
The Geography of Nowhere,James Howard Kunstler,1
Lies My Teacher Told Me,James Loewen,1
"Guns, Germs, and Steel",Jared Diamond,1
Collapse,Jared Diamond,1
The Forever War,Joe Haldeman,1
A Confederacy of Dunces,John Kennedy Toole,1
The Monster At The End Of This Book,Jon Stone and Michael Smollin,1
Heart of Darkness,Joseph Conrad,1
Catch-22,Joseph Heller,1
The Communist Manifesto,Karl Marx,1
The Art of Deception,Kevin Mitnick,1
Slaughterhouse 5,Kurt Vonnegut,1
Cat's Cradle,Kurt Vonnegut,1
Tao Te Ching,Lao Tse,1
Ringworld,Larry Niven,1
War and Peace,Leo Tolstoy,1
The Giver,Lois Lowry,1
The Autobiography of Malcolm X,Malcolm X with Alex Haley,1
The Curious Incident of the Dog in the Nightime,Mark Haddon,1
Adventures of Huckleberry Finn,Mark Twain,1
House of Leaves,Mark Z. Danielwelski,1
The Omnivore's Dilemma,Michael Pollan,1
Why People Believe Weird Things,Michael Shermer,1
Don Quixote,Miguel de Cervantes,1
The Unbearable Lightness of Being,Milan Kundera,1
Snow Crash,Neal Stephenson,1
The Diamond Age,Neal Stephenson,1
American Gods,Neil Gaiman,1
The Prince,Niccolò Machiavelli,1
Ender's Game,Orson Scott Card,1
His Dark Materials Trilogy,Philip Pullman,1
Do Androids Dream of Electric Sheep,Phillip K. Dick,1
Fahrenheit 451,Ray Bradbury,1
The Selfish Gene,Richard Dawkins,1
"Surely You're Joking, Mr. Feynman!",Richard P. Feynman,1
Stranger in a Strange Land,Robert A. Heinlein,1
The Moon is a Harsh Mistress,Robert A. Heinlein,1
Starship Troopers,Robert A. Heinlein,1
Zen and the Art of Motorcycle Maintenance,Robert M. Pirsig,1
Freakonomics,Stephen Dubner and Steven Levitt,1
A Brief History of Time,Stephen Hawking,1
The Stand,Stephen King,1
The Art of War,Sun Tzu,1
Everybody Poops,Tarō Gomi,1
You Can Choose to Be Happy,Tom G. Stevens,1
The Bible,Various,1
"The Declaration of Independence, The US Constitution, and the Bill of Rights",Various,1
Lolita,Vladimir Nabokov,1
Candide,Voltaire,1
A Canticle for Leibowitz,"Walter M. Miller, Jr",1
Neuromancer,William Gibson,1
Lord of the Flies,William Golding,1
